"","time","V","V50","Time","frac"
"1",-3.7,1.059482548,-2.07011354672097,0,0.000909567821388745
"2",-3.6,1.22111815481081,-1.90847793991016,0.1,0.00113010356022012
"3",-3.5,1.38275376162162,-1.74684233309935,0.2,0.00140403571666189
"4",-3.4,1.54438936843243,-1.58520672628854,0.3,0.00174425187951952
"5",-3.3,1.70602497524324,-1.42357111947773,0.4,0.00216672798144963
"6",-3.2,1.86766058205405,-1.26193551266692,0.5,0.00269125635446483
"7",-3.1,2.02929618886487,-1.10029990585611,0.6,0.00334233888743873
"8",-3,2.19093179567568,-0.938664299045297,0.7,0.00415027915638048
"9",-2.9,2.35256740248649,-0.777028692234486,0.8,0.00515251235259743
"10",-2.8,2.5142030092973,-0.615393085423675,0.9,0.00639521631198968
"11",-2.7,2.67583861610811,-0.453757478612865,1,0.00793525001006571
"12",-2.6,2.83747422291892,-0.292121871802054,1.1,0.00984246599185212
"13",-2.5,2.99910982972973,-0.130486264991243,1.2,0.0122024379333091
"14",-2.4,3.16074543654054,0.0311493418195676,1.3,0.0151196302119283
"15",-2.3,3.32238104335135,0.192784948630379,1.4,0.0187210076345862
"16",-2.2,3.48401665016216,0.35442055544119,1.5,0.0231600328033409
"17",-2.1,3.64565225697297,0.516056162252,1.6,0.0286209159660402
"18",-2,3.80728786378378,0.677691769062811,1.7,0.0353228551805784
"19",-1.9,3.96892347059459,0.839327375873622,1.8,0.0435238195779282
"20",-1.8,4.13055907740541,1.00096298268443,1.9,0.0535231737939542
"21",-1.7,4.29219468421622,1.16259858949524,2,0.065662114326347
"22",-1.6,4.45383029102703,1.32423419630605,2.1,0.0803205063619655
"23",-1.5,4.61546589783784,1.48586980311686,2.2,0.0979083290007036
"24",-1.4,4.77710150464865,1.64750540992768,2.3,0.118849675874331
"25",-1.3,4.93873711145946,1.80914101673849,2.4,0.143557316282258
"26",-1.2,5.10037271827027,1.9707766235493,2.5,0.172396477703301
"27",-1.1,5.26200832508108,2.13241223036011,2.6,0.205638066966233
"28",-1,5.42364393189189,2.29404783717092,2.7,0.243404190635246
